Time,Albedo
20-Jan-2015 00:00:00,NaN
21-Jan-2015 00:00:00,NaN
22-Jan-2015 00:00:00,NaN
23-Jan-2015 00:00:00,NaN
24-Jan-2015 00:00:00,NaN
25-Jan-2015 00:00:00,NaN
26-Jan-2015 00:00:00,NaN
27-Jan-2015 00:00:00,NaN
28-Jan-2015 00:00:00,NaN
29-Jan-2015 00:00:00,NaN
30-Jan-2015 00:00:00,NaN
31-Jan-2015 00:00:00,NaN
01-Feb-2015 00:00:00,0.820030265953723
02-Feb-2015 00:00:00,0.688802074896466
03-Feb-2015 00:00:00,0.745908133456368
04-Feb-2015 00:00:00,0.720006051162306
05-Feb-2015 00:00:00,NaN
06-Feb-2015 00:00:00,NaN
07-Feb-2015 00:00:00,NaN
08-Feb-2015 00:00:00,NaN
09-Feb-2015 00:00:00,NaN
10-Feb-2015 00:00:00,NaN
11-Feb-2015 00:00:00,NaN
12-Feb-2015 00:00:00,NaN
13-Feb-2015 00:00:00,NaN
14-Feb-2015 00:00:00,NaN
15-Feb-2015 00:00:00,0.888616227878704
16-Feb-2015 00:00:00,0.883753034702297
17-Feb-2015 00:00:00,0.840677953701785
18-Feb-2015 00:00:00,0.840141621664291
19-Feb-2015 00:00:00,0.834990190658995
20-Feb-2015 00:00:00,0.911761373790314
21-Feb-2015 00:00:00,0.87365108988406
22-Feb-2015 00:00:00,0.850171145241444
23-Feb-2015 00:00:00,0.864872388572246
24-Feb-2015 00:00:00,0.831412763395805
25-Feb-2015 00:00:00,0.872426393987196
26-Feb-2015 00:00:00,0.872316570022111
27-Feb-2015 00:00:00,NaN
28-Feb-2015 00:00:00,0.833503407926007
01-Mar-2015 00:00:00,0.841365882891656
02-Mar-2015 00:00:00,0.831035725201511
03-Mar-2015 00:00:00,0.863283573506887
04-Mar-2015 00:00:00,0.829732986246337
05-Mar-2015 00:00:00,0.826715811113232
06-Mar-2015 00:00:00,0.800429281798229
07-Mar-2015 00:00:00,0.831747930337463
08-Mar-2015 00:00:00,0.874610105993232
09-Mar-2015 00:00:00,0.860185329276274
10-Mar-2015 00:00:00,0.812124123277355
11-Mar-2015 00:00:00,0.80613923079645
12-Mar-2015 00:00:00,0.849842656214975
13-Mar-2015 00:00:00,0.804003666895968
14-Mar-2015 00:00:00,0.843884617517049
15-Mar-2015 00:00:00,0.855011202420337
16-Mar-2015 00:00:00,0.870625734869401
17-Mar-2015 00:00:00,0.862473297446183
18-Mar-2015 00:00:00,0.836836622617687
19-Mar-2015 00:00:00,0.863103848636327
20-Mar-2015 00:00:00,0.848886113192849
21-Mar-2015 00:00:00,0.849899165271261
