,bias,rmse,mae,r,count
6,-0.13283338141471757,0.21747660616585102,0.1530147399454849,0.08934896148508806,54
7,-0.047137751379933895,0.0700876082331541,0.052238964629933424,0.15125548876756234,100
8,-0.021882364102812944,0.09453556320743992,0.05704856605360734,0.5961695655212247,115
9,-0.14256793150639974,0.23256170691662023,0.1545381708248918,0.7038947099224625,63
